Metin,metin_lemmatized
Ürün Zonguldak'tan geliyor. 4 günde teslim ettiler. Üründe şimdilik bir sıkıntı yok...,"['ürün', 'Zonguldak', 'gel', 'günde', 'teslim', 'et', 'ürün', 'şimdilik', 'bir', 'sıkıntı', 'yok']"
Ürün çok kaliteli ve ikincisini sipariş ettim ama ikinci kargo 10.gün geldi PTT Kargo çok kötü,"['ürün', 'kaliteli', 'ikinci', 'sipariş', 'et', 'ikinci', 'kargo', 'gün', 'gel', '', 'kargo', 'kötü']"
fiyat performans olarak son derece başarılı bir ürün,"['fiyat', 'performans', 'olarak', 'son', 'derece', 'başarılı', 'bir', 'ürün']"
Tavsiye ederim güzel kullanışlı ürün kuaför tavsiyesi ile aldım fiyatına göre çok güzel,"['tavsiye', 'eder', 'güzel', 'kullanışlı', 'ürün', 'kuaför', 'tavsiye', 'al', 'fiyat', 'göre', 'güzel']"
Teşekkür ederim trend yol aracılığıyla güzel bir Ürün aldıgımı düşünüyorum başarılı on numara,"['teşekkür', 'eder', '', 'yol', 'aracılığıyla', 'güzel', 'bir', 'ürün', '', 'düşün', 'başarılı', 'on', 'numara']"
Ürün hızlı ve iyi paketlenmiş şekilde geldi. Ilk kullanımda iyi performans aldım.,"['ürün', 'hızlı', 'iyi', 'paketlen', 'şekil', 'gel', 'ilk', 'kullanım', 'iyi', 'performans', 'al']"
ürün elime ulaştı gerçekten çok memnun kaldım herkese tavsiye ediyorum.,"['ürün', 'elim', 'ulaş', 'gerçekten', 'memnun', 'kal', 'herkes', 'tavsiye', 'et']"
"1-3 numaraya kadar aparatı var. Kutu içeriği tam geldi, sakal kesimi için ideal makine.","['numara', 'kadar', 'aparat', 'var', 'kutu', 'içeriğ', 'tam', 'gel', 'sakal', 'kesim', 'ideal', 'makine']"
Güzel kullanışlı tam istediğim gibi sakalı kökten alıyor,"['güzel', 'kullanışlı', 'tam', 'istedik', 'sakalı', 'kökten', 'al']"
"Eşim için aldım, çok memnun kaldı","['eşim', 'al', 'memnun', 'kal']"
Çok beğendim teşekkürler,"['beğen', 'teşekkür']"
çok sevdim. severek kullanıyorum,"['sev', 'severek', 'kullan']"
col basarili begendik,"['', 'basarili', '']"
Çok güzel sakal alıyor kesimi süper,"['güzel', 'sakal', 'al', 'kesim', 'süper']"
Güzel geldi abime aldık,"['güzel', 'gel', 'abi', 'al']"
Ürün çok çok iyi alın,"['ürün', 'iyi', 'al']"
Gayet güzel iş gören bir ürün tskler,"['gayet', 'güzel', 'iş', 'göre', 'bir', 'ürün', '']"
eşim için aldım çok beğendi teşekkürler,"['eşim', 'al', 'beğen', 'teşekkür']"
Çok güzel bir ürün ancak 5 numarası da olabilirdi,"['güzel', 'bir', 'ürün', 'ancak', 'numara', 'olabilir']"
Yanlış ürün gönderdiler iade ettim,"['yanlış', 'ürün', 'gönder', 'iade', 'et']"
kargo biraz yavaş onun dışında ürün güzel,"['kargo', 'biraz', 'yavaş', 'on', 'dış', 'ürün', 'güzel']"
Fiyat performans ürünü,"['fiyat', 'performans', 'ürün']"
Paketleme gayet iyi kullanışlı güzel,"['paketle', 'gayet', 'iyi', 'kullanışlı', 'güzel']"
köpeğim için almıştık gayet memnun kaldik,"['köpek', 'al', 'gayet', 'memnun', '']"
Sıfıra yakın alıyor.Kalitesi de güzel.,"['sıfır', 'yak', '', 'güzel']"
Çok kullanışlı ve pratik,"['kullanışlı', 'pratik']"
"süper ürün, çok ince kesim in uygun","['süper', 'ürün', 'ince', 'kesim', 'in', 'uygun']"
Hediye almıştık çok beğenildi,"['hediye', 'al', 'beğenil']"
"Gayet güzel, saç kesmek için kullandık","['gayet', 'güzel', 'saç', 'kesmek', 'kullan']"
Hızlı teslimat! Teşekkürler,"['hızlı', 'teslimat', 'teşekkür']"
Tavsiyedir cok kullanisli,"['tavsiye', '', '']"
köpeğim için almıştık gayet memnun kaldik,"['köpek', 'al', 'gayet', 'memnun', '']"
col basarili begendik,"['', 'basarili', '']"
Babama aldım çok beğendi,"['baba', 'al', 'beğen']"
Beklentimizi karşıladı beğendik??,"['beklenti', 'karşıla', 'beğen']"
Çok güzel sakal alıyor kesimi süper,"['güzel', 'sakal', 'al', 'kesim', 'süper']"
gayet iş görür güzel eşim beğendi.,"['gayet', 'iş', 'gör', 'güzel', 'eşim', 'beğen']"
"iyi ürün , güzel fiyat","['iyi', 'ürün', 'güzel', 'fiyat']"
Çok güzel ve çok şık fiyatına göre muhteşem,"['güzel', 'şık', 'fiyat', 'göre', 'muhteşem']"
Tavsiye ederim harika hızlı,"['tavsiye', 'eder', 'harika', 'hızlı']"
İş görür kirli sakal istiyorsanız direk alın,"['iş', 'gör', 'kirli', 'sakal', 'iste', 'direk', 'al']"
Paketleme gayet iyi kullanışlı güzel,"['paketle', 'gayet', 'iyi', 'kullanışlı', 'güzel']"
çok sevdim. severek kullanıyorum,"['sev', 'severek', 'kullan']"
"Eşim için aldım, çok memnun kaldı","['eşim', 'al', 'memnun', 'kal']"
güzel iş görür teşekkürler,"['güzel', 'iş', 'gör', 'teşekkür']"
Güzel göründüğü gibi memnun kaldım,"['güzel', 'göründük', 'memnun', 'kal']"
fiyat kalite persormans çok iyi,"['fiyat', 'kalite', '', 'iyi']"
Ürün performans çok iyi değil ama idare ediyoruz,"['ürün', 'performans', 'iyi', 'değil', 'idare', 'et']"
"harika, kesinlikle iş görür.","['harika', 'kesinlik', 'iş', 'gör']"
Güzel ürün güzel paketleme memnun kaldık,"['güzel', 'ürün', 'güzel', 'paketle', 'memnun', 'kal']"
Gayet iyi babam için aldım tavsiye ediyorum ????,"['gayet', 'iyi', 'baba', 'al', 'tavsiye', 'et']"
Ürün aynısı geldi. Güzel,"['ürün', 'aynısı', 'gel', 'güzel']"
kargo biraz yavaş onun dışında ürün güzel,"['kargo', 'biraz', 'yavaş', 'on', 'dış', 'ürün', 'güzel']"
babam için aldık bir kere kullandı ama memnun,"['baba', 'al', 'bir', 'kere', 'kullan', 'memnun']"
Erkek kardeşime aldım çok beğendi,"['erkek', 'kardeş', 'al', 'beğen']"
Gayet iyi babam için aldım tavsiye ediyorum ????,"['gayet', 'iyi', 'baba', 'al', 'tavsiye', 'et']"
Güzel ürün güzel paketleme memnun kaldık,"['güzel', 'ürün', 'güzel', 'paketle', 'memnun', 'kal']"
"harika, kesinlikle iş görür.","['harika', 'kesinlik', 'iş', 'gör']"
Ürün performans çok iyi değil ama idare ediyoruz,"['ürün', 'performans', 'iyi', 'değil', 'idare', 'et']"
güzel kulanışlı kalitesi güzel,"['güzel', '', 'kalite', 'güzel']"
"Teslimat hızlı, kardeşim için aldım güzel","['teslimat', 'hızlı', 'kardeş', 'al', 'güzel']"
Beklentimin üzerinde güzel bir makine....,"['beklenti', 'üzerinde', 'güzel', 'bir', 'makine']"
iş görüyor eşim memnun,"['iş', 'gör', 'eşim', 'memnun']"
"Eşime hediye olarak aldım, başarılı bir ürün","['eşim', 'hediye', 'olarak', 'al', 'başarılı', 'bir', 'ürün']"
Gayet guzel urun tesekkurler.,"['gayet', '', 'ur', '']"
Hızlı kargo kaliteli ürün,"['hızlı', 'kargo', 'kaliteli', 'ürün']"
"oldukça kullanisli, ozellikle kirli sakal icin","['oldukça', '', '', 'kirli', 'sakal', '']"
güzel ve ucuz.,"['güzel', 'ucuz']"
İyi ürün iş görüyor,"['iyi', 'ürün', 'iş', 'gör']"
ürün geldi çok güzel ama tarakları 1 2 3 var 4 5 6 da olsa iyi olur,"['ürün', 'gel', 'güzel', 'tarak', 'var', 'ol', 'iyi', 'olur']"
ürün çok güzel saç traşı için değil ense ve sakal için mükemmel bir ürün tavsiye ederim,"['ürün', 'güzel', 'saç', '', 'değil', 'ense', 'sakal', 'mükemmel', 'bir', 'ürün', 'tavsiye', 'eder']"
Fiyatına göre harika bir ürün çok beğendim.Performans harika,"['fiyat', 'göre', 'harika', 'bir', 'ürün', '', 'harika']"
Eşim için almış olduğum ürün çok kaliteli ve ürün fiyatı çok iyi teşekkürler.,"['eşim', 'al', 'olduk', 'ürün', 'kaliteli', 'ürün', 'fiyat', 'iyi', 'teşekkür']"
Ürün iyi geldiği gibi çocuğumu amerikan traş yaptım. Beginner seviye evde kullanım için iyi fakat profesyonel kullanım için yetersiz,"['ürün', 'iyi', 'geldik', 'çocuk', 'Amerikan', '', 'yap', '', 'seviye', 'ev', 'kullanım', 'iyi', 'fakat', 'profesyonel', 'kullanım', 'yetersiz']"
kuaför bir tanıdığım önermişti ben de o şekilde aldım ve gerçekten güzel kkullanışlı bir cihaz sıfır kesmesede çok yakın kesiyor,"['kuaför', 'bir', 'tanıdık', 'öner', 'ben', 'şekil', 'al', 'gerçekten', 'güzel', '', 'bir', 'cihaz', 'sıfır', '', 'yak', 'kes']"
İlk kullanımım yorumlarda yazıldığı gibi sıfıra yakın almıyor.sanki sonraki traşlarda bıcağı körleşecekmiş gibi hisse yapıldım.yaşayıp görecez bakalım.,"['ilk', 'kullanım', 'yorum', 'yazıldık', 'sıfır', 'yak', '', 'sonraki', '', '', 'körleş', 'hisse', '', 'gör', 'bak']"
Ense çizimlerinde güzel fakat şarjı çabuk tükeniyor o yüzden ben çok kullanamadım açıkça ya aldığımda bir sorun vardı yada çoğu böyle idi bir daha almaya da cesaret edemedim açıkçası,"['ense', 'çizim', 'güzel', 'fakat', 'şarj', 'çabuk', 'tüken', 'yüzde', 'ben', 'kullan', 'açık', 'aldık', 'bir', 'sorun', 'var', 'yad', 'çoğu', 'böyle', 'idi', 'bir', 'al', 'cesaret', 'et', 'açıkçası']"
Saç kesim için almıştım anca sıfır mumarasını kullandım diğer numaraların çok başarılı olucağını düşünmüyorum şekil vermek için filan başarılı diğil bence,"['saç', 'kesim', 'al', 'anca', 'sıfır', '', 'kullan', 'diğer', 'numara', 'başarılı', 'olucak', 'düşün', 'şekil', 'vermek', 'filan', 'başarılı', '', 'ben']"
"Ürün bugün elime ulaştı ancak daha denemedim. Deneyince yorumumu tekrar güncelleyeceğim ancak altını çizerek eklemek istediğim bir şey var. Ürünü Kuzey Pazarlama isimli mağazadan sipariş ettim , yahu bu aletler elektronik paketlemesine biraz daha özen gösterseniz ne olur. Hiç bir koruma , extra köpük vs olmadan olduğu gibi kargo poşetine koyup yollamışlar. Paketleme çok kötüydü ve kutusu ezik büzük geldi. İnşallah çalışmasında sıkıntı olmaz...","['ürün', 'bugün', 'elim', 'ulaş', 'ancak', 'dene', 'deney', 'yorum', 'tekrar', 'güncelle', 'ancak', 'altın', 'çizerek', 'eklemek', 'istedik', 'bir', 'var', 'ürün', 'kuzey', 'pazarla', 'isimli', 'mağaza', 'sipariş', 'et', 'yahu', 'alet', 'elektronik', 'paketleme', 'biraz', 'özen', 'göster', 'olur', 'bir', 'koru', '', 'köpük', '', 'olmadan', 'olduk', 'kargo', 'poşet', 'koyup', 'yolla', 'paketle', 'kötü', 'kutu', 'ezik', 'büzük', 'gel', 'inşallah', 'çalışma', 'sıkıntı', 'olmaz']"
Bıçağı bozuk geldi. Boğaz kısmımı traş ederken hep kesti. İade ettim yeni bir tane sipariş ettim onda da aynısı oldu. Onu da şimdi iade edeceğim,"['bıçak', 'bozuk', 'gel', 'boğaz', 'kısım', '', 'eder', 'kes', 'iade', 'et', 'yeni', 'bir', 'tane', 'sipariş', 'et', 'on', 'aynısı', 'oldu', 'on', 'şimdi', 'iade', 'edecek']"
siparisim hizli kargolandi. paket yeterince korumali degildi elektronik urun oldugu icin daha guvenli paketlenebilir. urun ilk kullanimda fena degil. cok keskin sifira yakin aliyor. cene altinda cok az zorlandi ve acitti. motoru guclu. metal bicaklari cok isiniyor. makine cok fazla titriyor. sesi cok yuksek degil. bu fiyat icin uygun bir makine.,"['', '', '', 'paket', 'yeterince', '', '', 'elektronik', 'ur', '', '', '', 'paketlenebil', 'ur', 'ilk', '', 'fena', '', '', 'keskin', '', 'yakin', '', 'ce', '', '', '', '', 'motor', '', 'metal', '', '', '', 'makine', '', 'fazla', 'titre', 'ses', '', '', '', 'fiyat', '', 'uygun', 'bir', 'makine']"
Tarakları çok yetersiz. En uzun 3mm tarağı var. Bu makine yerine daha uygun fiyatlıları tercih edilebilir. Belkide beklentim fazlaydı ve bu nedenle beklentimi karşılamadı. Ayrıca taraksız sakal kesiminde de sıfır almıyor. Malzeme kalitesi fena değil.,"['tarak', 'yetersiz', 'uzun', '', 'tarak', 'var', 'makine', 'yerine', 'uygun', 'fiyatlı', 'tercih', 'edilebil', 'belkide', 'beklenti', 'fazla', 'neden', 'beklenti', 'karşıla', 'ayrı', 'taraksız', 'sakal', 'kesim', 'sıfır', 'al', 'malzeme', 'kalite', 'fena', 'değil']"
urun gayet kaliteli tam bir f/p urunu tavsiye ederim,"['ur', 'gayet', 'kaliteli', 'tam', 'bir', '', 'ur', 'tavsiye', 'eder']"
kardeşim için almıştım kullanışlı olduğunu söyledi şimdilik bir sıkıntı yok bakalım,"['kardeş', 'al', 'kullanışlı', 'olduk', 'söyle', 'şimdilik', 'bir', 'sıkıntı', 'yok', 'bak']"
güzel buda pandemi yüzünsen geç geldi ama paraya göre iyi,"['güzel', 'buda', '', 'yüzün', 'geç', 'gel', 'para', 'göre', 'iyi']"
sarji 4-5 traş gidiyor..basliklarini takıp çıkartması kolay....çok memnun kaldım paketlemede harika,"['', '', '', 'takıp', 'çıkartma', '', 'memnun', 'kal', 'paketleme', 'harika']"
ürün fiyatına göre kaliteli. yalniz aparatları taksan bile kısa kesim yaptırıyor.,"['ürün', 'fiyat', 'göre', 'kaliteli', '', 'aparat', 'taksa', 'bile', 'kısa', 'kesim', 'yaptır']"
Oğlum için aldım çok memnun kaldı beğenerek kullanıyor .Teşekkürler Trendyol,"['oğul', 'al', 'memnun', 'kal', 'beğenerek', 'kullan', 'teşekkür', '']"
ürünü eşime aldım çok memnun diğer pahalı ürünlerden hiç bir farkı yok,"['ürün', 'eşim', 'al', 'memnun', 'diğer', 'pahalı', 'ürün', 'bir', 'fark', 'yok']"
"Zor zamanlarda kurtarıcı bir ürün oldu bizim için, performans kısa saç jedimi için ideal","['zor', 'zaman', 'kurtarıcı', 'bir', 'ürün', 'oldu', 'biz', 'performans', 'kısa', 'saç', '', 'ideal']"
sakal tıraşı için mükemmel makine görünümde gayet şık,"['sakal', 'tıraş', 'mükemmel', 'makine', 'görünüm', 'gayet', 'şık']"
ses sorunu var sadece kesim on numara 0 makina için öneririm,"['ses', 'sorun', 'var', 'sade', 'kesim', 'on', 'numara', '', 'öner']"
"Erkek arkadaşıma almıştık, o kadar beğendim ki bir tane de kendime sipariş ettim.","['erkek', 'arkadaş', 'al', 'kadar', 'beğen', 'bir', 'tane', 'kendi', 'sipariş', 'et']"
İnşallah güzel çıkar tavsiye üzerine aldık. İlk intiba güzel,"['inşallah', 'güzel', 'çık', 'tavsiye', 'üzerine', 'al', 'ilk', 'intiba', 'güzel']"
"Babam için aldım, sakalını kısaltmak için kullanıyor, memnun kaldı","['baba', 'al', 'sakalı', 'kısaltmak', 'kullan', 'memnun', 'kal']"
Kargo geç geldı onun dışında fiyat performans iyi kalite tşkler,"['kargo', 'geç', '', 'on', 'dış', 'fiyat', 'performans', 'iyi', 'kalite', '']"
Eşim çok beğendi. Başka marka ve daha pahalıya almaya gerek yok,"['eşim', 'beğen', 'başka', 'marka', 'pahalı', 'al', 'gerek', 'yok']"
Çok güzel çok beğenerek kullanıyorum.,"['güzel', 'beğenerek', 'kullan']"
Sıfır sakal olmasada yinede traş ihtiyacınızı karşılayacak düzeyde.,"['sıfır', 'sakal', '', 'yine', '', 'ihtiyaç', 'karşıla', 'düzey']"
Yanında başlıklarda geliyor kaliteli kesimi iyi jilettwn çok bi farkı yok,"['yanında', 'başlık', 'gel', 'kaliteli', 'kesim', 'iyi', '', '', 'fark', 'yok']"
Çok güzel bir makine ürün zamanında geldi teşekkürler,"['güzel', 'bir', 'makine', 'ürün', 'zamanında', 'gel', 'teşekkür']"
gayet iş görür sağlam bir ürün keşke tarak sayısı daha fazla olsaymıs,"['gayet', 'iş', 'gör', 'sağlam', 'bir', 'ürün', 'keşke', 'tarak', 'sayı', 'fazla', '']"
Tarakları çok iyi değil ama yine jilet kısmı ve performansı fiyatina gore baya iyi...,"['tarak', 'iyi', 'değil', 'yine', 'jilet', 'kısım', 'performans', '', '', 'bay', 'iyi']"
Hem saç hem sakal için ailecek kullanıyoruz. Gayet memnunuz.,"['saç', 'sakal', 'ailecek', 'kullan', 'gayet', 'memnun']"
babam için almıştım saç ve sakal traşı yapılıyor rahatlıkla alabilir siniz,"['baba', 'al', 'saç', 'sakal', '', 'yapılı', 'rahatlık', 'alabil', 'sin']"
saç için biraz zayıf kalır ama ense faul bıyık için gayet iyi.,"['saç', 'biraz', 'zayıf', 'kal', 'ense', 'faul', 'bıyık', 'gayet', 'iyi']"
Çok güzel başarılı bi ürün sadece kutusu zedenlenmiş kargodayken,"['güzel', 'başarılı', '', 'ürün', 'sade', 'kutu', '', 'kargo']"
Çok sıfır alıyor bi tık daha kirli sakal ayarı da olsa süper di,"['sıfır', 'al', '', 'tık', 'kirli', 'sakal', 'ayar', 'ol', 'süper', '']"
BERBERİN KULLANDIGI MODELI SEÇTİM.GÜZEL BİR ÜRÜN.TARAKLARI BIRAZ DAHA KALITELI OLSAYDI IYI OLURDU.,"['berber', '', 'model', '', 'bir', '', 'biraz', 'kaliteli', '', 'iyi', 'olur']"
Hızlıca geldi açtım çalıştırdım bir sıkıntı yok gayet şık damat bohçası için aldım memnunum,"['hızlı', 'gel', 'aç', 'çalıştır', 'bir', 'sıkıntı', 'yok', 'gayet', 'şık', 'damat', 'bohça', 'al', 'memnun']"
Hızlıca geldi açtım çalıştırdım bir sıkıntı yok gayet şık damat bohçası için aldım memnunum,"['hızlı', 'gel', 'aç', 'çalıştır', 'bir', 'sıkıntı', 'yok', 'gayet', 'şık', 'damat', 'bohça', 'al', 'memnun']"
BERBERİN KULLANDIGI MODELI SEÇTİM.GÜZEL BİR ÜRÜN.TARAKLARI BIRAZ DAHA KALITELI OLSAYDI IYI OLURDU.,"['berber', '', 'model', '', 'bir', '', 'biraz', 'kaliteli', '', 'iyi', 'olur']"
Gayet basarılı güvenle alabilinir.,"['gayet', '', 'güven', 'alabilin']"
Çok başarılı gerçekten,"['başarılı', 'gerçekten']"
Hediye olarak aldım gayet güzel kullanışlı ürün,"['hediye', 'olarak', 'al', 'gayet', 'güzel', 'kullanışlı', 'ürün']"
urun güzel beklediğimden iyi geldi,"['ur', 'güzel', 'bekledik', 'iyi', 'gel']"
sakal traşı için çok kullanışlı.,"['sakal', '', 'kullanışlı']"
Bu donemde isimizi gordu tesekkurler,"['done', 'is', '', '']"
Ürün gerçekten güzel çıktı,"['ürün', 'gerçekten', 'güzel', 'çıktı']"
Ürünü hediye aldım .kendisi çok memnun kaldı.,"['ürün', 'hediye', 'al', 'kendi', 'memnun', 'kal']"
urun elime ulaşti süper,"['ur', 'elim', '', 'süper']"
sakal ve ense düzeltmek için çok güzel makina,"['sakal', 'ense', 'düzeltmek', 'güzel', '']"
Çok memnun kaldım ikinciyi aldım.,"['memnun', 'kal', 'ikinci', 'al']"
Çok hızlı gönderildi. Ürün gayet güzel.,"['hızlı', 'gönderil', 'ürün', 'gayet', 'güzel']"
"canavar canavar , boyle bir yigit görülmemiş","['canavar', 'canavar', '', 'bir', '', 'görülmemiş']"
çok başarılı ürün 0 a yakın alıyor,"['başarılı', 'ürün', 'a', 'yak', 'al']"
Güzel makina tavsiye ederim,"['güzel', '', 'tavsiye', 'eder']"
almanızı önerim güzel ürün kendim 1tane aldım beyendim 2tane de hediye gönderdim,"['alma', 'öneri', 'güzel', 'ürün', 'kendi', 'tane', 'al', '', 'tane', 'hediye', 'gönder']"
Düşünmeden alın derim????,"['düşünmeden', 'al', 'deri']"
Çok beğendim teşekkürler,"['beğen', 'teşekkür']"
"İşinizi görür, sessiz gayet güzel bir ürün","['iş', 'gör', 'sessiz', 'gayet', 'güzel', 'bir', 'ürün']"
Cok begendim sakallarımı sıfıra yakın kesiyor,"['', '', 'sakal', 'sıfır', 'yak', 'kes']"
Çok memnunum iyi bir cihaz,"['memnun', 'iyi', 'bir', 'cihaz']"
pandemi döneminde aldim gayet kullanisli,"['', 'dönem', '', 'gayet', '']"
Çok iyi . sıfıra yakın sakal trasi için mükemmel,"['iyi', 'sıfır', 'yak', 'sakal', '', 'mükemmel']"
urun anlatıldığı gibi ve kargo hızli,"['ur', 'anlatıldık', 'kargo', '']"
Oğlum kullanıyor. Gayet iyi ve kullanışlı.,"['oğul', 'kullan', 'gayet', 'iyi', 'kullanışlı']"
Eşim aldı çok memnun herkese tavsiye ediyor,"['eşim', 'al', 'memnun', 'herkes', 'tavsiye', 'et']"
keskinlik le tavsiye ederim,"['keskinlik', '', 'tavsiye', 'eder']"
ense düzeltme ve sakal için ideal,"['ense', 'düzelt', 'sakal', 'ideal']"
"sakal için iş görür, güzel bir cihaz.","['sakal', 'iş', 'gör', 'güzel', 'bir', 'cihaz']"
"Çok güzel, kullanımı rahat, şartı iyi","['güzel', 'kullanım', 'rahat', 'şart', 'iyi']"
Çok beğendim ve çok hızlı kargo teşekkürler,"['beğen', 'hızlı', 'kargo', 'teşekkür']"
Hızlı kargo için teşekkür ederiz,"['hızlı', 'kargo', 'teşekkür', 'eder']"
Çok güzel bi ürün şarj mükemmel biraz fazla ısınıyor,"['güzel', '', 'ürün', 'şarj', 'mükemmel', 'biraz', 'fazla', 'ısın']"
cok kaliteli her erkegin almadi gerekir,"['', 'kaliteli', '', '', 'gerek']"
çok iyi kullanışlı güzel,"['iyi', 'kullanışlı', 'güzel']"
mükemmel makine kusursuz,"['mükemmel', 'makine', 'kusursuz']"
Erkek arkadasıma hediye aldım cok begendi ????,"['erkek', '', 'hediye', 'al', '', '']"
Sıfır kesiyor çok kaliteli bi makina,"['sıfır', 'kes', 'kaliteli', '', '']"
Fiyat performans efsane,"['fiyat', 'performans', 'efsane']"
guzel ve saglam tavsiye ederim,"['', '', 'tavsiye', 'eder']"
ürün tam istediğim gibi,"['ürün', 'tam', 'istedik']"
ürünün gayet güzel kullanışlı ??,"['ürün', 'gayet', 'güzel', 'kullanışlı']"
ürün kaliteli uzun sureli saglam,"['ürün', 'kaliteli', 'uzun', 'sureli', '']"
tam bir fiyat performansı,"['tam', 'bir', 'fiyat', 'performans']"
cok iyi almanızı tavsiye ederim,"['', 'iyi', 'alma', 'tavsiye', 'eder']"
makine mükemmel çok güzel,"['makine', 'mükemmel', 'güzel']"
Kaliteli Güzel Fiyatı Uygun,"['kaliteli', 'güzel', 'fiyat', 'uygun']"
Tek geçerim bu ürünü.,"['tek', 'geç', 'ürün']"
Harika tavsiye ediyorum,"['harika', 'tavsiye', 'et']"
gayet başarılı f p ürünü,"['gayet', 'başarılı', '', '', 'ürün']"
Beklediğimden daha iyi,"['bekledik', 'iyi']"
Güzel makina bıcagı cabuk körerdi ama,"['güzel', '', '', '', '']"
çok güzel teşekkür ederim,"['güzel', 'teşekkür', 'eder']"
Çalışması çok iyi ?? ??,"['çalışma', 'iyi']"
Eşim memnun kaldı. Tavsiye ederiz,"['eşim', 'memnun', 'kal', 'tavsiye', 'eder']"
Kargo güzel ve sağlam,"['kargo', 'güzel', 'sağlam']"
cok guzel uygun fiyat,"['', '', 'uygun', 'fiyat']"
eşime aldim çom beyendi,"['eşim', '', '', '']"
henüz kullanmadım ama güzel görünüyor,"['henüz', 'kullan', 'güzel', 'görün']"
çok güzel bir ürün çok memnun kaldım,"['güzel', 'bir', 'ürün', 'memnun', 'kal']"
Güzel makine tavsiye ederim yani,"['güzel', 'makine', 'tavsiye', 'eder']"
makina gerçekten kaliteli. sakalı çok iyi kesiyor,"['', 'gerçekten', 'kaliteli', 'sakalı', 'iyi', 'kes']"
Çok güzel bi ürün şarj mükemmel biraz fazla ısınıyor,"['güzel', '', 'ürün', 'şarj', 'mükemmel', 'biraz', 'fazla', 'ısın']"
Ürün gayet iyi kargo sıkıntılı biraz,"['ürün', 'gayet', 'iyi', 'kargo', 'sıkıntılı', 'biraz']"
Sağlam ve güvenilir alışverişti. Teşekkürler,"['sağlam', 'güvenilir', 'alışveriş', 'teşekkür']"
Hem uygun hemde kaliteli ürün,"['uygun', 'he', 'kaliteli', 'ürün']"
Çok memnunum iyi bir cihaz,"['memnun', 'iyi', 'bir', 'cihaz']"
Çok iyi . sıfıra yakın sakal trasi için mükemmel,"['iyi', 'sıfır', 'yak', 'sakal', '', 'mükemmel']"
urun anlatıldığı gibi ve kargo hızli,"['ur', 'anlatıldık', 'kargo', '']"
Görüldüğü gibi geldi güzel ürün,"['görüldük', 'gel', 'güzel', 'ürün']"
pandemi döneminde aldim gayet kullanisli,"['', 'dönem', '', 'gayet', '']"
Eşim aldı çok memnun herkese tavsiye ediyor,"['eşim', 'al', 'memnun', 'herkes', 'tavsiye', 'et']"
Düşünmeden alın derim????,"['düşünmeden', 'al', 'deri']"
almanızı önerim güzel ürün kendim 1tane aldım beyendim 2tane de hediye gönderdim,"['alma', 'öneri', 'güzel', 'ürün', 'kendi', 'tane', 'al', '', 'tane', 'hediye', 'gönder']"
urun harika 10 numara tereddüt etmeden alın,"['ur', 'harika', 'numara', 'tereddüt', 'etmeden', 'al']"
"İşinizi görür, sessiz gayet güzel bir ürün","['iş', 'gör', 'sessiz', 'gayet', 'güzel', 'bir', 'ürün']"
sakal traşı için çok kullanışlı.,"['sakal', '', 'kullanışlı']"
Cok begendim sakallarımı sıfıra yakın kesiyor,"['', '', 'sakal', 'sıfır', 'yak', 'kes']"
Bu donemde isimizi gordu tesekkurler,"['done', 'is', '', '']"
Ürünü hediye aldım .kendisi çok memnun kaldı.,"['ürün', 'hediye', 'al', 'kendi', 'memnun', 'kal']"
urun elime ulaşti süper,"['ur', 'elim', '', 'süper']"
şuan için iyi duruyor,"['şua', 'iyi', 'dur']"
Ürün gerçekten güzel çıktı,"['ürün', 'gerçekten', 'güzel', 'çıktı']"
Çok memnun kaldım ikinciyi aldım.,"['memnun', 'kal', 'ikinci', 'al']"
çok başarılı ürün 0 a yakın alıyor,"['başarılı', 'ürün', 'a', 'yak', 'al']"
keskinlik le tavsiye ederim,"['keskinlik', '', 'tavsiye', 'eder']"
ense düzeltme ve sakal için ideal,"['ense', 'düzelt', 'sakal', 'ideal']"
Çok hızlı gönderildi. Ürün gayet güzel.,"['hızlı', 'gönderil', 'ürün', 'gayet', 'güzel']"
Çok beğendim teşekkürler,"['beğen', 'teşekkür']"
"İşinizi görür, sessiz gayet güzel bir ürün","['iş', 'gör', 'sessiz', 'gayet', 'güzel', 'bir', 'ürün']"
Cok begendim sakallarımı sıfıra yakın kesiyor,"['', '', 'sakal', 'sıfır', 'yak', 'kes']"
Bu donemde isimizi gordu tesekkurler,"['done', 'is', '', '']"
Çok başarılı gerçekten,"['başarılı', 'gerçekten']"
kaliteli 1 aydır kullanıyorum.,"['kaliteli', 'ay', 'kullan']"
"eşime aldım çok memnun kaldı, çalışması çok iyi","['eşim', 'al', 'memnun', 'kal', 'çalışma', 'iyi']"
güzel ürün sıkıntısız,"['güzel', 'ürün', 'sıkıntısız']"
kargo hızlı urun harika 300E 500E gerek yok ????,"['kargo', 'hızlı', 'ur', 'harika', 'e', 'e', 'gerek', 'yok']"
Kargo hızlı ve ürün güzel. Eşim çok memnun kaldı,"['kargo', 'hızlı', 'ürün', 'güzel', 'eşim', 'memnun', 'kal']"
Süper kuvvetli ve sıfır kesen bir makina,"['süper', 'kuvvetli', 'sıfır', 'kesen', 'bir', '']"
sakal traşı için çok kullanışlı.,"['sakal', '', 'kullanışlı']"
Eşim bayıldı bu fiyata gördüğü iş tartışılmaz ????,"['eşim', 'bayıl', 'fiyat', 'gördük', 'iş', 'tartışıl']"
